ensembl_gene_id,Start,End,Chromosome
ENSG00000236646,62038842,62039111,1
ENSG00000243725,54715861,54742657,1
ENSG00000171872,44118821,44135140,1
ENSG00000162407,56494761,56645301,1
ENSG00000163877,37534449,37554293,1
ENSG00000228929,52772194,52772648,1
ENSG00000224570,65576129,65578380,1
ENSG00000224980,56585612,56586242,1
ENSG00000278967,62607766,62609584,1
ENSG00000157184,53196792,53214197,1
ENSG00000198815,42176539,42335877,1
ENSG00000134744,52408282,52553487,1
ENSG00000233910,40593633,40594353,1
ENSG00000287703,34640157,34685732,1
ENSG00000283039,44137821,44141631,1
ENSG00000229294,65279456,65306521,1
ENSG00000236973,51707138,51708137,1
ENSG00000277397,53180921,53186900,1
ENSG00000162385,53226900,53238518,1
ENSG00000275350,38383838,38384422,1
ENSG00000123080,50960745,50974634,1
ENSG00000285778,73787370,73915340,1
ENSG00000233407,50206084,50223127,1
ENSG00000162598,59987269,60073770,1
ENSG00000280317,72979014,72979314,1
ENSG00000162415,45016399,45306209,1
ENSG00000162600,58415384,58546802,1
ENSG00000116704,66999350,67054148,1
ENSG00000157193,53242364,53328469,1
ENSG00000116205,54053584,54112519,1
ENSG00000233994,72274552,72275159,1
ENSG00000227556,78317157,78317263,1
ENSG00000162607,62436297,62451804,1
ENSG00000285954,53344031,53365473,1
ENSG00000233333,78170481,78171237,1
ENSG00000154027,77282019,77559966,1
ENSG00000234108,80495903,80496233,1
ENSG00000232676,79521080,79522203,1
ENSG00000213579,75582099,75582555,1
ENSG00000137960,77979542,78138444,1
ENSG00000237852,65486406,65494188,1
ENSG00000132855,62597520,62606313,1
ENSG00000270549,62530636,62530873,1
ENSG00000237163,62905180,62905482,1
ENSG00000229636,73104792,73106282,1
ENSG00000116675,65248219,65415871,1
ENSG00000162433,65147549,65232145,1
ENSG00000213625,65420587,65436007,1
ENSG00000233664,52709122,52709442,1
ENSG00000158966,64470129,64693058,1
ENSG00000213703,62641122,62641667,1
ENSG00000233674,43743471,43743741,1
ENSG00000153898,84925583,84997113,1
ENSG00000117069,76867480,77067546,1
ENSG00000125703,62784132,62865516,1
ENSG00000234144,65298755,65298980,1
ENSG00000277670,80124004,80124361,1
ENSG00000227466,66042500,66050718,1
ENSG00000230498,77081984,77086402,1
ENSG00000162618,78889764,79282124,1
ENSG00000224493,75521562,75522231,1
ENSG00000131233,38874069,38881587,1
ENSG00000229225,63078081,63079031,1
ENSG00000225598,80373364,80374621,1
ENSG00000137941,83865024,83999150,1
ENSG00000286548,89427533,89525472,1
ENSG00000066135,43650149,43705518,1
ENSG00000272094,90860550,90862920,1
ENSG00000228853,71794232,71837012,1
ENSG00000284895,41585306,41628816,1
ENSG00000117174,85649417,85708433,1
ENSG00000184313,54641754,54710266,1
ENSG00000288543,77067920,77078482,1
ENSG00000122420,78303884,78540701,1
ENSG00000143013,87328880,87348923,1
ENSG00000226084,77129114,77129668,1
ENSG00000134748,52404602,52420836,1
ENSG00000142892,77088989,77219430,1
ENSG00000229332,60097415,60097976,1
ENSG00000227937,81080790,81081171,1
ENSG00000229752,81098267,81099005,1
ENSG00000233216,58228682,58229003,1
ENSG00000197273,42162690,42164745,1
ENSG00000226804,44150594,44151753,1
ENSG00000230728,54621477,54628438,1
ENSG00000232846,51709062,51709940,1
ENSG00000230787,79054945,79056055,1
ENSG00000116641,62454298,62688386,1
ENSG00000172260,71395943,72282539,1
ENSG00000285473,68974010,69023558,1
ENSG00000234578,53267935,53268601,1
ENSG00000229505,86029854,86030589,1
ENSG00000228187,77194825,77195395,1
ENSG00000182183,52633168,52669683,1
ENSG00000236407,80283352,80283970,1
ENSG00000271949,89633140,89933250,1
ENSG00000227062,80464301,80464718,1
ENSG00000067334,93866284,93879918,1
ENSG00000235011,79323769,79324863,1
ENSG00000213559,80451083,80452004,1
ENSG00000287587,42036143,42051784,1
ENSG00000142949,43525187,43623666,1
ENSG00000232882,90892992,90893612,1
ENSG00000171502,85729233,86156943,1
ENSG00000116157,52602371,52609051,1
ENSG00000143036,94820342,94895246,1
ENSG00000065243,88684222,88836255,1
ENSG00000226960,93927714,93928302,1
ENSG00000234080,50326131,50327007,1
ENSG00000285409,79967733,80051404,1
ENSG00000117528,94418389,94518666,1
ENSG00000271723,54641786,54742308,1
ENSG00000036549,77562416,77683419,1
ENSG00000225191,103926567,103927806,1
ENSG00000287870,77248633,77250826,1
ENSG00000232048,67660155,67661013,1
ENSG00000232857,94650544,94651378,1
ENSG00000273637,38839333,38874494,1
ENSG00000228838,53288024,53289706,1
ENSG00000283761,99970011,100083321,1
ENSG00000189433,34759740,34762327,1
ENSG00000142700,50417550,50423443,1
ENSG00000233514,44122153,44122512,1
ENSG00000127124,41506365,42035925,1
ENSG00000266993,51793934,51799154,1
ENSG00000229316,50398825,50399773,1
ENSG00000234099,93922574,93923945,1
ENSG00000137936,93561741,93847150,1
ENSG00000232752,93924743,93925385,1
ENSG00000235829,14692129,14692613,1
ENSG00000143032,90711539,90717302,1
ENSG00000280040,98660388,98661059,1
ENSG00000117519,94896949,94927223,1
ENSG00000238037,44155028,44155301,1
ENSG00000134215,107571161,107965180,1
ENSG00000227935,57386576,57387450,1
ENSG00000228502,96446930,96448318,1
ENSG00000271277,101882516,101882894,1
ENSG00000236888,57605847,57606206,1
ENSG00000230828,50114937,50115282,1
ENSG00000152078,95117355,95197607,1
ENSG00000171492,89821014,89936611,1
ENSG00000233129,93934479,93935244,1
ENSG00000170989,101236865,101243713,1
ENSG00000237897,105890693,105891430,1
ENSG00000116299,109113679,109206781,1
ENSG00000137962,94148988,94275068,1
ENSG00000286692,94417743,94418228,1
ENSG00000260464,93847174,93848939,1
ENSG00000231996,99842610,99842761,1
ENSG00000117154,18107798,18378483,1
ENSG00000162377,52684449,52698347,1
ENSG00000116774,113979391,114035572,1
ENSG00000287756,14774469,14777727,1
ENSG00000284652,9421098,9422862,1
ENSG00000023909,93885199,93909456,1
ENSG00000069702,91680343,91906335,1
ENSG00000228399,101256274,101256616,1
ENSG00000236776,56538452,56538911,1
ENSG00000271252,95743096,95759470,1
ENSG00000235794,93924386,93924716,1
ENSG00000233983,99464378,99464776,1
ENSG00000198198,43389882,43454247,1
ENSG00000116793,113696831,113759489,1
ENSG00000232918,94406395,94406882,1
ENSG00000183298,101786340,101787219,1
ENSG00000117525,94529173,94541759,1
ENSG00000162699,101893105,101894047,1
ENSG00000203914,91642516,91644082,1
ENSG00000270457,59289303,59289640,1
ENSG00000231987,96254069,96374125,1
ENSG00000229842,93925406,93926072,1
ENSG00000198162,117367449,117528872,1
ENSG00000171517,84811602,84893206,1
ENSG00000203864,116694112,116706603,1
ENSG00000233482,94145111,94145619,1
ENSG00000143079,112396214,112463456,1
ENSG00000232450,113698884,113699631,1
ENSG00000235038,58060139,58080274,1
ENSG00000173947,111346600,111353013,1
ENSG00000134198,115048011,115089503,1
ENSG00000279513,117493515,117495006,1
ENSG00000117620,99969351,100035634,1
ENSG00000162688,99850361,99924023,1
ENSG00000197106,110150494,110202202,1
ENSG00000231072,116713833,116714835,1
ENSG00000185946,103525691,103555239,1
ENSG00000162627,98661701,98760500,1
ENSG00000265808,120150898,120176520,1
ENSG00000225923,96390652,96391393,1
ENSG00000134247,116909916,116990353,1
ENSG00000162664,89995110,90035533,1
ENSG00000134253,117111060,117122587,1
ENSG00000223416,58056133,58056480,1
ENSG00000179571,143595216,143635641,1
ENSG00000227850,105698039,105698218,1
ENSG00000285532,90835660,90849472,1
ENSG00000226755,117549415,117549922,1
ENSG00000183508,117606048,117628389,1
ENSG00000277095,143354191,143386122,1
ENSG00000264145,143449571,143450245,1
ENSG00000238256,113576757,113576899,1
ENSG00000198765,114854863,114995370,1
ENSG00000143398,151197949,151249536,1
ENSG00000196505,117863485,117929621,1
ENSG00000223489,116739981,116742609,1
ENSG00000230546,58084419,58084559,1
ENSG00000213262,117640812,117641639,1
ENSG00000287015,90045998,90047109,1
ENSG00000235526,110177643,110178719,1
ENSG00000228347,104153306,104153830,1
ENSG00000236012,111380291,111380571,1
ENSG00000134200,115029826,115034302,1
ENSG00000065183,117929720,117966543,1
ENSG00000226126,118614333,118615646,1
ENSG00000163156,151156664,151170296,1
ENSG00000228453,117138229,117138609,1
ENSG00000261168,151130075,151131610,1
ENSG00000233432,121502344,121503891,1
ENSG00000229911,118712999,118713678,1
ENSG00000171943,121184811,121392874,1
ENSG00000270719,117700029,117700242,1
ENSG00000155761,117953590,118185228,1
ENSG00000116830,117060326,117107453,1
ENSG00000234422,96418594,96418933,1
ENSG00000227091,110165948,110172489,1
ENSG00000081026,113390515,113685923,1
ENSG00000143458,151070578,151125542,1
ENSG00000230932,106080801,106081379,1
ENSG00000225036,105433994,105434821,1
ENSG00000250890,93926032,93926188,1
ENSG00000232240,111323833,111324075,1
ENSG00000234388,112363281,112363581,1
ENSG00000233717,151111912,151112728,1
ENSG00000163155,151159748,151165948,1
ENSG00000241975,88829102,88829419,1
ENSG00000270976,106780223,106780435,1
ENSG00000228217,117778087,117778506,1
ENSG00000270342,106544342,106544744,1
ENSG00000116824,116754430,116769229,1
ENSG00000235887,143499187,143500512,1
ENSG00000235756,80092103,80093237,1
ENSG00000173810,101270875,101271363,1
ENSG00000271890,159581620,159582648,1
ENSG00000283360,161403409,161470523,1
ENSG00000117262,145607988,145670650,1
ENSG00000227970,114837227,114851453,1
ENSG00000231613,89788914,89790492,1
ENSG00000236689,93926615,93927569,1
ENSG00000226028,143619994,143620527,1
ENSG00000203825,143541768,143572834,1
ENSG00000184371,109910242,109930992,1
ENSG00000233449,106802755,106803427,1
ENSG00000242943,143487772,143488353,1
ENSG00000232499,113449700,113450728,1
ENSG00000163154,151156649,151159749,1
ENSG00000232995,163244505,163321894,1
ENSG00000238087,166566178,166580705,1
ENSG00000143158,167916675,167937072,1
ENSG00000271092,95117923,95247225,1
ENSG00000232148,166763334,166792767,1
ENSG00000000460,169662007,169854080,1
ENSG00000135862,183023420,183145592,1
ENSG00000232952,105891739,105893517,1
ENSG00000260322,80114943,80116918,1
ENSG00000143156,169132531,169367948,1
ENSG00000198771,167630093,167708696,1
ENSG00000225462,187563061,187564131,1
ENSG00000237756,163259850,163260659,1
ENSG00000271187,191179521,191179739,1
ENSG00000231175,190624890,190801658,1
ENSG00000143185,168540768,168543997,1
ENSG00000272931,89820174,89820868,1
ENSG00000143190,167220876,167427345,1
ENSG00000225475,56619409,56619549,1
ENSG00000232223,166796266,166797183,1
ENSG00000224468,183138402,183141282,1
ENSG00000232551,106804474,106806032,1
ENSG00000238270,189868001,189868528,1
ENSG00000236025,190781787,190781995,1
ENSG00000230704,169762929,169764648,1
ENSG00000286754,176829128,176831841,1
ENSG00000143171,165400922,165445355,1
ENSG00000275767,144179777,144211729,1
ENSG00000047410,186311652,186375693,1
ENSG00000171806,169792529,169794963,1
ENSG00000134216,111290851,111320566,1
ENSG00000230748,165497724,165498348,1
ENSG00000238108,190797524,190797956,1
ENSG00000135842,184790724,184974508,1
ENSG00000287472,189868381,189876160,1
ENSG00000241318,91534666,91535593,1
ENSG00000228238,186578279,186579299,1
ENSG00000232393,91023919,91024804,1
ENSG00000184155,159535078,159536007,1
ENSG00000058085,183186238,183245127,1
ENSG00000232917,203903723,203904013,1
ENSG00000233057,194188967,194190342,1
ENSG00000143167,167052836,167166479,1
ENSG00000143184,168576605,168582069,1
ENSG00000224691,186176814,186177302,1
ENSG00000233626,211936249,211936634,1
ENSG00000143228,163266576,163355764,1
ENSG00000231714,194350943,194352426,1
ENSG00000116833,200027614,200177420,1
ENSG00000000457,169849631,169894267,1
ENSG00000285638,190878145,191151410,1
ENSG00000230987,189989570,189993097,1
ENSG00000228167,194718795,194719236,1
ENSG00000150732,188067298,188067525,1
ENSG00000157064,183248237,183418380,1
ENSG00000288139,169915004,169915198,1
ENSG00000059588,234391313,234479179,1
ENSG00000162782,179591613,179691272,1
ENSG00000238051,170211010,170211457,1
ENSG00000233196,186580515,186581191,1
ENSG00000229220,200147531,200148279,1
ENSG00000227747,198949016,198949805,1
ENSG00000228081,209173014,209173375,1
ENSG00000228020,191146025,191146961,1
ENSG00000234975,228687415,228687826,1
ENSG00000162851,246540561,246566261,1
ENSG00000271427,117364899,117365473,1
ENSG00000143353,219173869,219212865,1
ENSG00000197965,167721192,167791919,1
ENSG00000143493,211940399,212035557,1
ENSG00000230777,175921975,175922145,1
ENSG00000179397,244454377,244641177,1
ENSG00000224540,209232196,209233419,1
ENSG00000186197,236348257,236502915,1
ENSG00000229067,91600171,91600321,1
ENSG00000261182,188218400,188220676,1
ENSG00000162670,190097658,190478404,1
ENSG00000225712,209267798,209268223,1
ENSG00000162761,165201867,165356715,1
ENSG00000143199,167809386,167914215,1
ENSG00000007908,169722640,169764705,1
ENSG00000092978,217426992,217631090,1
ENSG00000188404,169690665,169711702,1
ENSG00000274702,187632166,187632439,1
ENSG00000226211,221133865,221134221,1
ENSG00000203697,223538007,223665723,1
ENSG00000116574,228735479,228746664,1
ENSG00000143248,163111121,163321791,1
ENSG00000162814,217631324,217871696,1
ENSG00000225172,198973379,198985506,1
ENSG00000261642,191151510,191154634,1
ENSG00000228239,157232231,157237136,1
ENSG00000237283,188705623,188732208,1
ENSG00000116132,170662728,170739421,1
ENSG00000229242,215886582,215901464,1
ENSG00000152092,176857302,177164973,1
ENSG00000234984,166665885,166682196,1
ENSG00000229983,212168207,212190259,1
ENSG00000225122,163422405,163423164,1
ENSG00000225920,219199914,219200567,1
ENSG00000143476,212035553,212107400,1
ENSG00000057252,179293714,179358680,1
ENSG00000285718,194785517,194931310,1
ENSG00000233018,235097187,235097412,1
ENSG00000224783,238777049,238779200,1
ENSG00000162852,246566444,246668595,1
ENSG00000268062,171345105,171345307,1
ENSG00000116962,235975830,236065109,1
ENSG00000229757,168578653,168579439,1
ENSG00000220749,212051524,212052006,1
ENSG00000181450,227563543,227677443,1
ENSG00000225300,246605873,246608102,1
ENSG00000223842,219222248,219225497,1
ENSG00000143355,197911902,197935478,1
ENSG00000237193,227482253,227482454,1
ENSG00000223490,93921268,93921667,1
ENSG00000174502,205913048,205943460,1
ENSG00000143195,166895711,166975540,1
ENSG00000162849,245154985,245709432,1
ENSG00000232824,198197779,198198186,1
ENSG00000067533,218285293,218337983,1
ENSG00000228955,246632251,246632478,1
ENSG00000224702,165210627,165213090,1
ENSG00000271811,170667381,170669425,1
ENSG00000224278,188242139,188242678,1
ENSG00000226486,188905688,189037564,1
ENSG00000227687,205935128,205935768,1
ENSG00000231814,217892900,217920804,1
ENSG00000277007,219270774,219273387,1
ENSG00000229016,218301262,218301972,1
ENSG00000152104,214348700,214552449,1
ENSG00000117650,211658657,211675630,1
ENSG00000203724,197902630,197907367,1
ENSG00000225006,188508538,188536465,1
ENSG00000223375,218338541,218338756,1
ENSG00000230714,218031835,218033660,1
ENSG00000173726,235109341,235128837,1
ENSG00000282852,110256754,110256930,1
ENSG00000152382,166856510,166876264,1
ENSG00000232100,218043505,218059140,1
ENSG00000230547,171270954,171271590,1
ENSG00000232215,248003129,248004068,1
ENSG00000135829,182839347,182887982,1
ENSG00000134717,52056199,52090716,1
ENSG00000278180,227490691,227492296,1
ENSG00000232341,166747379,166748660,1
ENSG00000287676,219294982,219297668,1
ENSG00000236792,192247505,192247947,1
ENSG00000143207,175944831,176207286,1
ENSG00000270859,242671140,242671576,1
ENSG00000238224,245614773,245615145,1
ENSG00000237492,247974741,247975653,1
ENSG00000150681,192158462,192185815,1
ENSG00000116906,231241207,231277973,1
ENSG00000092969,218345336,218444619,1
ENSG00000157181,186375838,186421378,1
ENSG00000250762,167819898,167820248,1
ENSG00000076258,171314183,171342084,1
ENSG00000117697,212726153,212791782,1
ENSG00000235083,188671353,188671759,1
ENSG00000162669,91260766,91404856,1
ENSG00000225904,176367699,176368401,1
ENSG00000143641,230057990,230282122,1
ENSG00000010932,171248471,171285978,1
ENSG00000010072,231337104,231355023,1
ENSG00000135766,231363751,231422287,1
ENSG00000238054,188869474,188888540,1
ENSG00000168243,235547685,235650754,1
ENSG00000281453,218442626,218443996,1
ENSG00000237469,227493029,227495142,1
ENSG00000227613,222261833,222262796,1
ENSG00000116183,176463171,176845601,1
ENSG00000231612,245673732,245676478,1
ENSG00000271036,189035961,189036444,1
ENSG00000170382,204617170,204685738,1
ENSG00000226868,211715928,211725402,1
ENSG00000279401,185518651,185520986,1
ENSG00000287450,231339421,231339558,1
ENSG00000237011,193684246,193688429,1
ENSG00000066027,212285410,212361853,1
ENSG00000173728,244352635,244389663,1
ENSG00000225811,190264898,190362270,1
ENSG00000273093,200315435,200315967,1
ENSG00000185523,212830141,212847649,1
ENSG00000116711,186828949,186988981,1
ENSG00000226750,242345558,242345718,1
ENSG00000285665,171339299,171339959,1
ENSG00000231022,188694320,188695111,1
ENSG00000224436,232221938,232222174,1
ENSG00000234915,212299495,212331713,1
ENSG00000227585,221549786,221550643,1
ENSG00000157060,182899865,182953525,1
ENSG00000237213,193756815,193757267,1
ENSG00000213045,200329161,200329677,1
ENSG00000230063,212297448,212299579,1
ENSG00000235467,242365189,242365822,1
ENSG00000123684,211743457,211830763,1
ENSG00000225338,212309051,212309518,1
ENSG00000224407,230280312,230281893,1
ENSG00000232463,176231200,176231830,1
ENSG00000225171,166868748,166869209,1
ENSG00000235386,246818076,246818180,1
ENSG00000213690,242376923,242377432,1
ENSG00000229832,212357418,212358353,1
ENSG00000237514,176616273,176616786,1
ENSG00000287856,231363797,231528603,1
ENSG00000203705,212791828,212816830,1
ENSG00000224040,182942115,182942404,1
ENSG00000228686,176017277,176018760,1
ENSG00000174175,169588849,169630193,1
ENSG00000236401,187706561,187708898,1
ENSG00000215800,242772620,242773103,1
ENSG00000270936,210462345,210463012,1
ENSG00000008118,209583714,209613939,1
ENSG00000171161,248838210,248849517,1
ENSG00000241505,190480379,190494297,1
ENSG00000261453,208606564,208614295,1
ENSG00000231020,176305672,176306095,1
ENSG00000270818,242882066,242883475,1
ENSG00000196878,209614870,209652425,1
ENSG00000225561,218912757,218918714,1
ENSG00000074964,17539698,17697874,1
ENSG00000223847,187714243,187714735,1
ENSG00000277704,242890247,242890803,1
ENSG00000240963,244375100,244409592,1
ENSG00000226570,182955390,182956148,1
ENSG00000198929,162069691,162370475,1
ENSG00000174606,212992182,213015867,1
ENSG00000236905,212824027,212824505,1
ENSG00000227887,208697369,208697698,1
ENSG00000116903,231332753,231337852,1
ENSG00000226196,189132350,189133292,1
ENSG00000287354,210362861,210366948,1
ENSG00000233827,200213678,200214322,1
ENSG00000198797,177170958,177282422,1
ENSG00000151414,198156994,198322420,1
ENSG00000177614,230314490,230426332,1
ENSG00000235182,212853280,212853426,1
ENSG00000287157,210386657,210394112,1
ENSG00000225755,163237214,163239197,1
ENSG00000197472,246945547,247008093,1
ENSG00000230184,246321663,246322438,1
ENSG00000232436,221508559,221510979,1
ENSG00000136643,213051233,213274774,1
ENSG00000236317,212855175,212855366,1
ENSG00000176855,182959074,182960405,1
ENSG00000225401,244394976,244395660,1
ENSG00000228190,199371877,199372297,1
ENSG00000135747,246945547,247078811,1
ENSG00000069248,229440259,229508341,1
ENSG00000253148,192316992,192367285,1
ENSG00000227751,17406760,17407382,1
ENSG00000090104,192575763,192580024,1
ENSG00000236468,199387141,199388475,1
ENSG00000185220,248906196,248919946,1
ENSG00000236101,234026851,234027227,1
ENSG00000162769,212858275,212899363,1
ENSG00000278684,209001338,209001476,1
ENSG00000236775,247015068,247017291,1
ENSG00000042781,215622891,216423448,1
ENSG00000228646,213428708,213429077,1
ENSG00000233332,234212606,234215088,1
ENSG00000231984,199752491,199752890,1
ENSG00000277462,247034637,247078811,1
ENSG00000035687,244408494,244451909,1
ENSG00000180287,242082986,242524697,1
ENSG00000226693,218881600,218882650,1
ENSG00000231272,234261706,234274465,1
ENSG00000223828,174756850,174757119,1
ENSG00000226723,192246708,192247487,1
ENSG00000272672,89939601,89940147,1
ENSG00000235096,246025897,246035603,1
ENSG00000007341,112523514,112620825,1
ENSG00000143324,180632022,180890279,1
ENSG00000225222,246178778,246179204,1
ENSG00000198842,167094075,167129165,1
ENSG00000286619,205813322,205896082,1
ENSG00000198756,183929854,184037729,1
ENSG00000227554,183754418,183754937,1
ENSG00000178596,94302038,94303022,1
ENSG00000054282,243256034,243500091,1
ENSG00000183780,233904676,234324511,1
ENSG00000229663,248771635,248773792,1
ENSG00000162702,200404940,200410056,1
ENSG00000228530,199876978,199877558,1
ENSG00000143194,166975582,167022214,1
ENSG00000054267,235131634,235328219,1
ENSG00000287921,233904104,233905931,1
ENSG00000232166,234284972,234285541,1
ENSG00000175137,248810446,248825915,1
ENSG00000134245,112466541,112530165,1
ENSG00000187889,56718789,56819696,1
ENSG00000097046,91500851,91525764,1
ENSG00000231378,174849667,174850168,1
ENSG00000235605,234356704,234357141,1
ENSG00000224857,121573946,121580524,1
ENSG00000273367,234372186,234372811,1
ENSG00000231605,167175363,167195792,1
ENSG00000236358,234357006,234365828,1
ENSG00000203737,174447964,174449545,1
ENSG00000215873,91328369,91329513,1
ENSG00000185420,245749342,246507312,1
ENSG00000272175,51801028,51801307,1
ENSG00000213070,164356767,164357364,1
ENSG00000229747,199908921,199909648,1
ENSG00000136636,215567304,215621807,1
ENSG00000225486,233836080,233836432,1
ENSG00000163874,37474580,37484377,1
ENSG00000213068,167162423,167162837,1
ENSG00000054392,210328252,210676296,1
ENSG00000188739,235131183,235161283,1
ENSG00000273198,186521773,186522304,1
ENSG00000225719,164343005,164343864,1
ENSG00000273483,112517799,112518441,1
ENSG00000232809,215376484,215377374,1
ENSG00000285981,104998406,105032365,1
ENSG00000215796,247042791,247044021,1
ENSG00000233047,105927620,106028277,1
ENSG00000143341,185734391,186190949,1
ENSG00000116703,186443566,186461114,1
ENSG00000264341,5564071,5564143,1
ENSG00000264101,5862672,5862741,1
ENSG00000252404,9082696,9082879,1
ENSG00000243267,10616836,10617115,1
ENSG00000252151,14124233,14124335,1
ENSG00000252969,12221148,12221271,1
ENSG00000252956,9437669,9437778,1
ENSG00000284357,9151668,9151777,1
ENSG00000207237,25964197,25964300,1
ENSG00000252691,26006216,26006299,1
ENSG00000253005,28142737,28142841,1
ENSG00000207941,34669599,34669694,1
ENSG00000199963,38926870,38926977,1
ENSG00000264698,37161563,37161634,1
ENSG00000207328,37203610,37203716,1
ENSG00000207466,38950825,38950925,1
ENSG00000252368,37264677,37264786,1
ENSG00000206779,28422555,28422655,1
ENSG00000200796,38396659,38396765,1
ENSG00000252190,26006006,26006130,1
ENSG00000283724,37480230,37480289,1
ENSG00000284410,43171652,43171712,1
